"","agec","Virus","CAAP_all","NonCAAP_all","IPD_pneumonia_all","IPD_other_all"
"1","1","Virus","87 (80,93)","34 (28,42)","21 (0,45)","15 (2,31)"
"4","1","RSV","62 (50,71)","27 (23,31)","15 (0,33)","1 (0,12)"
"7","1","hMPV","11 (6,17)","2 (0,4)","0 (0,4)","0 (0,5)"
"10","1","Influenza","7 (0,18)","1 (0,4)","1 (0,11)","4 (0,11)"
"13","1","Adenovirus","0 (0,5)","1 (0,7)","0 (0,15)","0 (0,10)"
"16","1","Parainfluenza","5 (1,9)","2 (0,5)","0 (0,9)","4 (0,13)"
"2","2","Virus","80 (70,88)","27 (17,39)","40 (13,81)","19 (1,44)"
"5","2","RSV","49 (41,57)","16 (12,20)","29 (6,48)","0 (0,11)"
"8","2","hMPV","14 (8,19)","3 (0,5)","0 (0,9)","1 (0,6)"
"11","2","Influenza","5 (0,11)","2 (0,5)","1 (0,15)","5 (0,12)"
"14","2","Adenovirus","0 (0,5)","2 (0,11)","0 (0,42)","0 (0,20)"
"17","2","Parainfluenza","10 (4,16)","3 (0,7)","0 (0,12)","6 (0,21)"
"3","3","Virus","76 (62,87)","29 (19,43)","19 (0,50)","40 (8,73)"
"6","3","RSV","29 (20,38)","15 (10,19)","5 (0,21)","1 (0,17)"
"9","3","hMPV","17 (10,23)","2 (0,5)","0 (0,14)","7 (0,21)"
"12","3","Influenza","6 (0,13)","3 (0,6)","2 (0,22)","9 (0,21)"
"15","3","Adenovirus","0 (0,6)","4 (0,14)","0 (0,17)","0 (0,26)"
"18","3","Parainfluenza","22 (11,31)","4 (0,8)","0 (0,26)","13 (0,32)"
